Title
Rust cross-platform GPUI components
github.com/longbridge
Recall for Linux
github.com/rolflobker
WorldGrow: Generating Infinite 3D World
github.com/world-grow
Should LLMs just treat text content as an image?
seangoedecke.com
"Geoutil.com – Measure distances, areas, and convert geo data in the browser"
geoutil.com
Why I'm teaching kids to hack computers
hacktivate.app
If Your Adversary Is the Mossad (2014) [pdf]
usenix.org
How I turned Zig into my favorite language to write network programs in
lalinsky.com
Show HN: Write Go code in JavaScript files
npmjs.com
Don't Forget These Tags to Make HTML Work Like You Expect
jim-nielsen.com
What Happened to Running What You Wanted on Your Own Machine?
hackaday.com
"Microsoft's folds losses from OpenAI into $4.7B expense line – ""other"""
theverge.com
Show HN: MyraOS – My 32-bit operating system in C and ASM (Hack Club project)
github.com/dvir-biton
You already have a Git server
maurycyz.com
The last European train that travels by sea
bbc.com
Structure and Interpretation of Classical Mechanics
tgvaughan.github.io
Sandhill cranes have adopted a Canada gosling
smithsonianmag.com
Corrosion
fly.io
"Ken Thompson recalls Unix's rowdy, lock-picking origins"
thenewstack.io
An overengineered solution to `sort | uniq -c` with 25x throughput (hist)
github.com/noamteyssier
"We Saved $500k per Year by Rolling Our Own ""S3"""
nanit.com
"Are-we-fast-yet implementations in Oberon, C++, C, Pascal, Micron and Luon"
github.com/rochus-keller
Sphere Computer – The Innovative 1970s Computer Company Everyone Forgot
sphere.computer
A definition of AGI
arxiv.org
A bug that taught me more about PyTorch than years of using it
elanapearl.github.io
Feed the bots
maurycyz.com
"Tamper-Sensing Meshes Using Low-Cost, Embedded Time-Domain Reflectometry"
jaseg.de
Asbestosis
diamondgeezer.blogspot.com
"Poison, Poison Everywhere"
loeber.substack.com
Why JPEG XL Ignoring Bit Depth Is Genius (and Why AVIF Can't Pull It Off)
fractionalxperience.com
